FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,180,44,0,0,0,0,125,340,128,0,0,0,0,0,141,273,19,0,0,0,0,0,100,280,92,0,19,24,29,23,24,152,148,22,27,0,16,0,0,0,19,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,188,42,0,0,0,0,127,338,130,20,0,0,0,0,145,268,19,0,0,0,0,0,104,279,93,0,24,17,28,35,19,153,147,22,26,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,187,46,0,0,0,0,129,346,124,18,0,0,0,0,145,275,16,0,0,0,0,0,110,283,99,0,19,28,21,23,19,152,146,21,30,20,18,0,0,0,23,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,189,46,0,0,0,0,128,338,132,24,0,0,0,0,146,276,26,0,0,0,0,0,104,278,101,0,28,21,27,20,0,157,149,22,32,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,188,42,0,0,0,0,127,344,125,27,0,0,0,0,144,272,26,0,0,0,0,0,110,287,98,0,29,18,34,29,16,152,145,23,19,19,21,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,193,47,0,0,0,0,125,360,124,28,0,0,0,0,146,277,20,0,0,0,0,0,111,281,103,0,17,26,25,24,21,157,148,20,28,0,16,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,189,41,0,0,0,0,128,345,126,27,0,0,0,0,143,273,16,0,0,0,0,0,107,281,96,0,23,27,23,26,23,155,141,22,29,22,18,0,0,0,21,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,191,38,0,0,0,0,133,352,130,31,0,0,0,0,142,276,22,0,0,0,0,0,107,274,99,0,20,25,30,19,23,154,142,24,38,18,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,185,49,0,0,0,0,130,349,130,27,0,0,0,0,139,267,21,0,0,0,0,0,108,281,104,0,23,22,34,16,18,155,142,0,25,20,0,0,0,0,18,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,188,51,0,0,0,0,114,333,125,18,0,0,0,0,140,275,25,0,0,0,0,0,103,282,103,0,24,28,26,0,17,147,137,21,29,16,17,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,183,57,0,0,0,0,122,348,125,29,0,0,0,0,140,268,22,0,0,0,0,0,106,282,104,0,27,21,23,16,16,142,134,18,21,0,16,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,197,51,0,0,0,0,125,351,124,23,0,0,0,0,134,272,29,0,0,0,0,0,97,281,101,0,27,18,31,25,0,148,132,18,28,17,18,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,187,42,0,0,0,0,121,343,126,21,0,0,0,0,135,275,29,0,0,0,0,0,100,279,96,0,24,31,34,27,19,148,135,19,30,20,0,0,0,0,17,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,185,47,0,0,0,0,125,347,127,28,0,0,0,0,135,270,25,0,0,0,0,0,100,278,101,0,24,29,32,25,16,144,131,0,26,21,17,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,189,43,0,0,0,0,124,345,128,27,0,0,0,0,131,261,31,0,0,0,0,0,103,271,96,0,22,31,33,27,19,139,128,20,32,22,17,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,183,47,0,0,0,0,125,348,134,30,0,0,0,0,134,261,32,0,0,0,0,0,104,275,94,0,0,29,27,20,0,146,134,0,25,18,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,191,44,0,0,0,0,127,344,130,24,0,0,0,0,133,265,31,0,0,0,0,0,101,275,100,0,21,32,32,27,0,141,121,19,28,33,18,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,189,50,0,0,0,0,129,348,137,24,0,0,0,0,136,267,33,0,0,0,0,0,106,282,101,0,20,28,32,26,17,139,118,18,30,24,20,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,183,51,0,0,0,0,125,342,132,24,0,0,0,0,137,263,28,0,0,0,0,0,98,268,99,0,23,22,35,20,18,141,131,17,19,19,16,0,0,0,18,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,184,59,0,0,0,0,119,345,132,32,0,0,0,0,133,270,28,0,0,0,0,0,100,278,100,0,24,29,25,27,0,145,141,21,18,20,20,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,184,54,0,0,0,0,125,346,131,32,0,0,0,0,138,266,27,0,0,0,0,0,102,282,102,0,27,31,36,29,16,149,134,21,30,16,17,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,196,50,0,0,0,0,123,346,124,28,0,0,0,0,138,266,27,0,0,0,0,0,103,278,96,0,24,27,31,26,0,154,131,17,19,16,19,0,0,0,17,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,191,52,0,0,0,0,129,350,134,39,0,0,0,0,142,264,25,0,0,0,0,0,104,279,105,0,25,21,24,25,18,151,135,20,29,21,20,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,192,57,0,0,0,0,128,341,137,23,0,0,0,0,132,264,34,0,0,0,0,0,103,277,104,0,23,28,32,26,19,147,133,16,20,18,20,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,189,53,0,0,0,0,129,349,131,39,0,0,0,0,128,264,23,0,0,0,0,0,105,275,109,0,28,31,38,21,20,150,127,16,30,20,24,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,185,54,0,0,0,0,132,351,138,26,0,0,0,0,137,271,36,0,0,0,0,0,100,281,102,0,27,22,24,17,16,145,120,16,25,22,0,0,0,0,17,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,195,56,0,0,0,0,134,345,144,35,0,0,0,0,136,273,42,0,0,0,0,0,97,281,112,0,18,41,25,0,0,149,121,0,19,21,19,0,0,0,16,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,188,49,0,0,0,0,131,347,133,39,0,0,0,0,130,269,42,0,0,0,0,0,106,278,120,0,24,20,31,23,0,144,113,16,29,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,191,58,0,0,0,0,140,341,138,32,0,0,0,0,131,259,53,0,0,0,0,0,110,281,125,0,25,29,37,23,19,142,112,0,30,17,0,0,0,0,16,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,178,53,0,0,0,0,137,346,148,27,0,0,0,0,116,267,49,0,0,0,0,0,93,281,117,0,27,29,21,25,0,137,103,0,25,22,20,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,186,53,0,0,0,0,125,345,131,28,0,0,0,0,131,257,30,0,0,0,0,0,96,282,100,0,23,33,33,25,0,149,140,0,28,20,20,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,186,53,0,0,0,0,112,344,135,32,0,0,0,0,135,263,29,0,0,0,0,0,101,282,115,0,25,22,36,25,21,149,131,17,28,16,0,0,0,0,16,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,180,52,0,0,0,0,117,340,132,31,0,0,0,0,132,262,31,0,0,0,0,0,92,274,101,0,28,29,40,24,18,143,125,0,28,17,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,182,52,0,0,0,0,130,348,129,38,0,0,0,0,132,267,33,0,0,0,0,0,101,284,108,0,27,22,34,28,16,155,142,22,31,18,21,0,0,0,21,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,182,56,0,0,0,0,124,343,140,31,0,0,0,0,130,263,39,0,0,0,0,0,100,276,110,0,28,34,39,26,19,141,124,0,32,16,19,0,0,0,16,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,197,47,0,0,0,0,135,350,139,37,0,0,0,0,140,259,35,0,0,0,0,0,104,286,107,0,28,25,36,28,22,149,134,0,28,21,22,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,191,46,0,0,0,0,125,343,143,38,0,0,0,0,126,259,42,0,0,0,0,0,109,280,121,0,26,30,36,29,0,151,129,31,23,17,21,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,187,48,0,0,0,0,128,346,130,32,0,0,0,0,137,259,42,0,0,0,0,0,108,285,120,0,22,27,32,26,22,152,134,18,29,18,18,0,0,0,17,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,182,50,0,0,0,0,128,344,140,39,0,0,0,0,144,264,42,0,0,0,0,0,106,288,120,0,19,22,27,32,20,156,145,22,21,24,23,0,0,0,21,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,167,45,0,0,0,0,130,340,119,25,0,0,0,0,140,265,44,0,0,0,0,0,116,290,125,0,19,28,35,29,18,161,140,18,32,32,19,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,190,52,0,0,0,0,136,351,139,24,0,0,0,0,134,268,41,0,0,0,0,0,117,292,124,0,26,27,39,27,23,156,125,17,25,24,0,0,0,0,19,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,181,52,0,0,0,0,139,353,144,32,0,0,0,0,113,264,47,0,0,0,0,0,96,275,114,0,28,26,32,28,0,143,114,16,24,21,0,0,0,0,18,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,202,57,0,0,0,0,138,356,150,37,0,0,0,0,124,266,45,0,0,0,0,0,91,272,103,0,28,21,37,23,0,133,112,17,28,23,19,0,0,0,17,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,184,59,0,0,0,0,127,348,137,29,0,0,0,0,116,262,28,0,0,0,0,0,102,276,97,0,28,23,32,25,0,144,131,0,27,16,19,0,0,0,18,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,186,58,0,0,0,0,124,354,142,34,0,0,0,0,127,260,28,0,0,0,0,0,94,276,98,0,27,22,32,23,0,145,137,19,26,18,16,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,197,53,0,0,0,0,137,356,145,33,0,0,0,0,140,261,46,0,0,0,0,0,109,279,114,0,25,27,32,20,19,151,127,0,28,25,18,0,0,0,0,0,0,0,0,0
