FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
0,0,0,0,0,0,0,0,76,68,41,48,48,36,0,0,174,155,46,83,86,146,0,0,0,0,0,21,21,82,38,0,0,23,0,37,70,196,88,0,176,119,70,0,86,159,94,0,103,60,35,26,92,99,25,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,84,75,41,45,48,35,0,0,182,151,46,76,73,153,0,0,0,0,0,18,26,108,49,0,0,20,0,31,70,200,95,0,185,120,63,0,84,154,113,0,102,83,32,17,86,91,21,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,99,86,33,50,44,36,0,0,184,162,45,83,82,151,0,0,0,0,0,24,29,105,45,0,0,0,0,32,61,196,96,0,171,119,60,0,87,151,108,0,104,68,34,0,94,96,36,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,94,82,37,55,42,36,0,0,171,160,44,81,80,151,0,0,0,0,0,18,26,74,48,0,0,0,0,24,73,195,101,0,184,126,64,0,88,162,98,0,104,74,34,29,97,91,24,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,95,82,38,53,51,37,0,0,179,166,49,84,85,142,0,0,0,0,0,22,28,84,48,0,0,18,0,27,70,199,101,0,197,137,78,0,94,165,90,0,99,80,38,27,87,78,20,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,88,85,41,56,55,41,16,0,161,188,53,81,87,161,0,0,0,0,0,0,26,100,44,0,0,0,0,17,60,206,80,0,204,154,88,0,98,164,81,0,100,74,37,29,82,77,21,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,78,72,32,39,49,33,17,0,175,153,44,77,83,163,0,0,0,0,0,0,22,98,51,0,0,0,0,17,65,194,90,0,162,125,50,0,74,162,99,0,85,63,32,19,79,88,18,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,108,114,42,48,49,36,0,0,210,186,40,75,71,136,0,0,0,0,0,0,0,84,42,0,0,21,0,0,51,202,76,0,219,166,103,0,87,168,46,0,108,84,40,32,94,93,22,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,98,105,47,50,60,42,0,0,143,169,39,82,87,161,0,0,0,0,0,0,30,107,45,0,0,0,0,0,60,184,84,0,186,111,39,0,74,157,51,0,134,66,25,18,99,93,25,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,90,80,42,53,60,43,0,0,154,162,40,77,81,173,0,0,0,0,0,0,24,103,45,0,0,0,0,18,66,191,77,0,201,114,57,0,77,162,57,17,136,78,29,0,85,94,28,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,86,64,41,59,63,48,0,0,129,134,20,70,76,157,0,0,0,0,0,0,25,99,45,0,0,0,0,0,52,186,86,0,156,96,36,0,75,163,79,0,138,68,28,0,106,114,44,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,86,87,45,51,58,48,16,0,153,160,28,75,81,160,0,0,0,0,0,0,24,87,50,0,0,0,0,0,59,187,83,0,149,121,67,0,80,168,76,0,100,63,34,16,111,106,37,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,94,99,50,65,67,50,20,0,161,171,30,85,87,172,0,0,0,0,0,16,29,110,63,0,0,0,0,27,67,187,97,0,124,112,54,0,84,162,87,0,101,68,39,0,106,105,35,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,93,98,46,61,61,47,0,0,167,168,28,68,72,161,0,0,0,0,0,0,20,91,38,0,0,0,0,27,55,200,89,0,119,93,36,0,78,172,99,0,106,64,37,0,105,115,34,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,97,95,50,50,58,44,0,0,171,165,24,80,74,162,0,0,0,0,0,0,25,93,46,0,0,0,0,27,57,205,103,0,126,105,42,0,77,168,93,0,116,66,35,0,103,111,33,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,94,88,49,57,63,35,16,0,168,166,32,75,79,164,0,0,0,0,0,0,27,86,47,0,0,0,0,19,63,204,91,0,126,107,44,0,71,171,105,0,126,63,27,19,97,114,42,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,97,90,49,54,56,42,24,0,164,169,37,78,85,157,0,0,0,0,0,0,24,94,44,0,0,0,0,24,65,208,95,0,138,106,41,0,69,165,105,0,119,67,38,20,101,123,43,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,100,91,45,47,53,44,16,0,169,166,34,74,83,160,0,0,0,0,0,0,18,90,50,0,0,0,0,28,68,196,94,0,136,110,42,0,75,169,105,0,129,66,36,0,112,124,37,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,88,89,47,55,57,48,0,0,168,167,33,70,87,156,0,0,0,0,0,17,17,82,42,0,0,0,0,28,67,205,96,0,136,108,47,0,74,171,105,0,134,62,38,19,109,122,42,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,88,91,44,56,58,39,0,0,161,170,33,81,81,159,0,0,0,0,0,0,30,90,48,0,0,0,0,28,59,212,96,0,138,110,45,0,81,172,113,0,130,69,31,22,106,122,41,0,0,0,0,0,0,0,0,0
