FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
0,0,0,0,0,0,0,0,40,65,48,87,106,43,0,0,53,112,82,86,174,269,0,0,0,0,0,19,136,235,126,0,0,0,0,20,92,217,171,0,0,82,69,24,171,184,103,0,41,37,68,18,147,105,16,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,38,71,52,87,102,31,0,0,55,118,78,89,169,273,0,0,0,0,0,20,140,232,123,0,0,0,0,20,91,215,178,0,0,87,63,24,182,205,108,0,50,40,59,20,148,118,17,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,33,69,57,82,107,43,0,0,43,107,80,108,177,282,17,0,0,0,0,0,135,231,133,0,0,0,0,30,78,220,180,0,0,80,71,26,167,192,103,0,50,38,63,19,147,95,18,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,26,59,47,82,121,39,0,0,43,107,87,97,177,284,0,0,0,0,0,18,141,222,126,0,0,0,0,31,80,217,176,0,0,81,70,29,181,204,108,0,53,39,61,0,149,105,24,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,41,65,47,79,113,43,0,0,48,117,84,98,174,295,0,0,0,0,0,22,133,223,126,0,0,0,0,31,83,218,173,0,16,88,68,27,177,201,108,0,43,41,66,0,149,97,19,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,39,72,55,83,110,30,0,0,56,132,88,95,175,276,17,0,0,0,0,33,142,236,132,0,0,0,0,33,88,219,171,0,0,87,69,25,172,189,108,0,49,45,66,20,151,102,0,0,0,0,0,0,0,0,0,0
0,0,0,19,0,0,0,0,37,67,49,83,106,42,0,0,46,120,87,100,170,285,16,0,0,0,0,19,141,228,129,0,0,0,0,27,84,221,180,0,0,87,70,23,176,205,110,0,50,38,64,19,146,103,20,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,37,66,52,77,107,37,0,0,45,117,83,96,170,279,0,0,0,0,0,20,130,235,125,0,0,0,0,26,86,221,174,0,24,89,59,29,172,189,106,0,49,33,59,20,140,97,19,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,33,59,45,93,111,34,0,0,55,119,92,90,176,282,0,0,0,0,0,25,137,217,124,0,0,0,0,30,95,215,167,0,0,88,75,24,185,202,109,0,54,45,71,0,151,92,18,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,36,69,50,81,110,37,0,0,51,121,85,99,179,283,17,0,0,0,0,0,141,227,121,0,0,0,0,37,86,219,165,0,16,89,77,31,181,187,106,0,49,41,69,21,154,96,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,35,72,50,88,116,40,0,0,52,117,89,97,180,298,17,0,0,0,0,21,146,228,124,0,0,0,0,31,91,214,177,0,20,91,70,28,173,200,98,0,39,35,69,17,153,103,0,0,0,0,0,0,0,0,0,0
