FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
37,44,0,0,0,0,0,0,56,46,20,22,0,0,0,0,0,46,17,27,19,45,0,0,0,0,0,0,0,92,88,0,0,0,0,0,42,148,273,0,0,97,135,46,254,170,112,0,145,183,148,112,320,176,35,0,80,54,66,31,18,0,0,0
79,56,0,0,0,0,0,0,81,97,31,57,50,26,0,0,0,29,23,36,75,190,26,0,0,0,0,0,39,167,185,0,0,0,0,0,43,169,358,0,0,87,50,0,113,150,109,0,123,109,68,32,187,121,39,0,50,46,44,22,0,0,0,0
96,67,0,0,0,0,0,0,94,95,35,70,61,20,0,0,0,43,23,44,86,189,0,0,0,0,0,0,46,180,185,0,0,0,0,0,46,171,336,0,0,93,54,0,130,155,108,0,127,126,82,51,190,127,42,0,53,48,47,28,0,0,0,0
100,71,0,19,0,0,0,0,98,104,30,67,64,24,0,0,0,42,26,52,77,189,18,0,0,0,0,0,51,187,192,0,0,0,0,22,56,168,360,0,0,93,56,0,131,161,111,0,136,127,80,41,181,127,41,0,52,41,43,25,20,0,0,0
93,72,0,16,0,0,0,0,85,94,38,69,55,28,0,0,0,36,18,51,79,182,19,0,0,0,0,0,51,197,192,0,0,0,0,16,52,174,361,0,0,92,54,0,122,175,116,0,134,130,81,43,192,127,45,0,56,42,50,27,16,0,0,0
90,64,0,18,0,0,0,0,91,87,29,64,57,37,22,0,0,43,29,53,72,182,22,0,0,0,0,0,41,185,192,0,0,0,0,0,57,172,361,0,0,85,60,0,129,170,122,0,134,131,88,47,194,131,43,0,60,45,46,27,0,0,0,0
90,62,0,18,0,0,0,0,95,95,39,67,66,31,0,0,0,52,29,56,78,177,25,0,0,0,0,0,52,192,195,0,0,0,0,0,50,177,360,0,0,85,65,0,136,178,123,0,133,132,84,51,196,127,37,0,62,51,50,25,0,0,0,0
94,62,16,0,0,0,0,0,95,99,35,62,57,34,0,0,0,41,17,50,77,175,16,0,0,0,0,0,50,185,199,0,0,0,0,0,50,175,367,0,0,81,56,0,140,179,125,0,128,134,85,42,203,137,46,0,52,48,41,28,0,0,0,0
92,72,0,0,0,0,0,0,91,95,35,63,57,36,0,0,0,39,28,55,79,186,24,0,0,0,0,0,38,189,196,0,0,0,0,0,60,176,362,0,0,89,63,0,147,178,122,0,132,125,86,44,209,137,47,0,54,54,46,25,0,0,0,0
99,70,16,0,0,0,0,0,94,89,43,59,62,29,0,0,0,47,24,50,78,180,19,0,0,0,0,0,48,190,195,0,0,0,0,0,55,176,363,0,0,84,59,0,140,175,120,0,133,134,82,44,204,143,46,0,59,48,43,26,0,0,0,0
97,64,0,0,0,0,0,0,93,98,28,69,62,39,0,0,0,38,29,53,80,183,0,0,0,0,0,0,50,180,199,0,0,0,0,0,55,171,369,0,0,83,58,0,131,181,125,0,133,124,88,51,203,131,42,0,59,51,41,21,0,0,0,0
97,69,17,18,0,0,0,0,94,94,37,66,65,38,0,0,0,38,23,51,85,187,19,0,0,0,0,0,50,189,199,0,0,0,0,0,64,176,365,0,0,92,64,0,133,188,124,0,134,120,85,50,200,138,44,0,53,43,41,29,16,0,0,0
97,74,16,16,0,0,0,0,98,101,38,59,63,29,0,0,0,40,28,48,86,184,23,0,0,0,0,0,51,184,201,0,0,0,0,0,61,174,360,0,0,88,61,0,139,191,125,0,127,122,88,46,199,135,46,0,59,48,48,29,0,16,0,0
94,74,0,19,0,0,0,0,91,97,42,69,58,30,0,0,0,44,22,52,88,183,17,0,0,0,0,0,44,187,196,0,0,0,0,0,62,180,369,0,0,91,59,0,141,185,127,0,133,124,83,48,194,134,44,0,58,49,45,29,19,0,0,0
98,71,0,17,0,0,0,0,85,97,36,66,68,36,0,0,0,45,28,48,85,191,19,0,0,0,0,0,51,195,198,0,0,0,0,0,64,181,365,0,0,87,62,0,143,190,125,0,133,119,82,52,204,130,45,0,55,47,42,29,17,0,0,0
96,70,0,18,0,0,0,0,98,99,41,66,59,36,0,0,0,46,23,56,86,179,22,0,0,0,0,0,42,184,191,0,0,0,0,0,59,176,369,0,0,87,60,0,141,192,130,0,133,117,87,43,197,134,47,0,59,46,51,20,16,0,0,0
99,66,0,0,0,0,0,0,93,97,40,68,60,42,0,0,0,41,32,52,85,190,0,0,0,0,0,0,41,181,199,0,0,0,0,0,63,171,362,0,0,82,57,0,136,188,126,0,128,124,77,50,193,134,44,0,60,47,39,21,0,0,0,0
96,75,18,21,0,0,0,0,94,95,41,67,65,38,0,0,0,41,31,56,88,186,0,0,0,0,0,0,51,185,197,0,0,0,0,0,67,182,370,0,0,85,57,0,144,179,129,0,131,120,77,54,196,135,53,0,60,46,45,23,0,0,0,0
94,70,18,19,0,0,0,0,97,97,45,69,60,36,0,0,0,41,22,58,81,191,0,0,0,0,0,0,54,189,197,0,0,0,0,18,62,183,369,0,0,85,58,0,140,185,127,0,127,128,82,52,190,136,47,0,61,45,45,20,0,0,0,0
100,78,18,21,0,0,0,0,96,97,41,67,67,44,0,0,0,43,30,54,79,185,0,0,0,0,0,0,49,197,191,0,0,0,0,16,59,179,368,0,16,86,55,0,138,188,133,0,127,125,87,52,197,130,43,0,59,49,44,28,0,0,0,0
103,67,16,20,0,0,0,0,97,99,39,69,63,40,0,0,0,42,27,56,81,185,18,0,0,0,0,0,47,192,202,0,0,0,0,17,65,175,369,0,0,80,62,0,134,194,130,0,125,122,84,51,197,135,43,0,57,51,47,20,0,0,0,0
90,69,0,17,0,0,0,0,86,92,39,71,62,37,0,0,0,46,30,50,81,193,21,0,0,0,0,0,51,195,196,0,0,0,0,0,60,180,365,0,0,85,60,0,143,190,128,0,126,123,94,47,198,134,45,0,55,48,48,31,0,0,0,0
101,75,0,0,0,0,0,0,96,101,42,72,65,41,0,0,0,43,31,47,86,185,0,0,0,0,0,0,41,188,196,0,0,0,0,16,65,181,367,0,0,81,55,0,144,191,132,0,133,126,89,44,202,138,43,0,61,53,52,29,0,0,0,0
104,76,0,16,0,0,0,0,93,101,39,69,58,43,0,0,0,38,18,48,86,191,17,0,0,0,0,0,43,197,202,0,0,0,0,17,56,184,369,0,0,90,56,0,144,188,133,0,132,116,85,46,191,136,42,0,63,43,50,28,0,0,0,0
96,79,16,17,0,0,0,0,93,96,42,64,66,33,0,0,0,35,27,60,89,189,0,0,0,0,0,0,51,193,202,0,0,0,0,0,65,183,369,0,0,81,57,0,142,191,133,0,127,120,82,50,192,127,41,0,61,46,47,33,16,0,0,0
92,73,16,19,0,0,0,0,99,96,37,67,64,36,0,0,0,43,23,59,85,182,19,0,0,0,0,0,51,191,196,0,0,0,0,0,63,185,361,0,0,85,61,0,136,185,129,0,124,118,77,47,188,130,36,0,53,45,49,29,0,16,0,0
101,67,18,0,0,0,0,0,89,99,36,62,68,42,0,0,0,45,27,53,87,187,17,0,0,0,0,0,50,195,197,0,0,0,0,0,59,179,368,0,0,85,55,0,142,197,122,0,129,122,82,46,198,129,41,0,55,49,47,30,0,0,0,0
92,68,17,17,0,0,0,0,99,99,43,73,70,40,0,0,0,41,19,50,82,183,21,0,0,0,0,0,40,186,201,0,0,0,0,0,54,179,370,0,0,81,58,0,139,199,130,0,129,119,81,48,194,131,45,0,62,48,49,28,16,0,0,0
100,63,17,18,0,0,0,0,99,94,35,71,65,37,0,0,0,43,29,48,85,196,0,0,0,0,0,0,51,192,198,0,0,0,0,18,64,174,370,0,0,79,58,0,144,198,134,0,134,121,87,49,199,138,47,0,66,49,50,30,0,16,0,0
103,71,0,19,0,0,0,0,95,96,38,70,69,30,0,0,0,38,27,57,81,195,23,0,0,0,0,0,47,194,194,0,0,0,0,0,65,185,369,0,0,86,56,0,146,198,126,0,129,118,83,50,196,140,40,0,58,49,48,27,0,0,0,0
93,70,0,18,0,0,0,0,92,89,42,74,69,37,0,0,0,39,24,56,85,193,17,0,0,0,0,0,39,195,199,0,0,0,0,0,60,175,375,0,0,88,55,0,130,195,133,0,121,120,74,42,189,140,45,0,62,40,42,24,0,0,0,0
90,73,0,0,0,0,0,0,89,95,47,75,63,37,0,0,0,39,31,53,86,192,16,0,0,0,0,0,52,190,204,0,0,0,0,20,65,182,372,0,0,86,58,0,140,196,132,0,129,118,85,59,197,132,44,0,63,44,50,26,0,0,0,0
97,71,19,0,0,0,0,0,84,95,35,72,57,29,0,0,0,39,21,55,89,185,20,0,0,0,0,0,50,192,201,0,0,0,0,0,61,179,371,0,0,86,53,0,144,197,134,0,129,120,86,43,197,136,38,0,53,48,49,29,0,0,0,0
100,67,18,23,0,0,0,0,96,92,41,69,57,43,0,0,0,39,31,57,88,196,23,0,0,0,0,0,50,197,205,0,0,0,0,19,65,177,373,0,0,89,57,0,138,191,126,0,129,120,86,43,200,130,44,0,59,50,45,20,16,0,0,0
103,71,0,16,0,0,0,0,97,96,35,72,55,43,0,0,0,44,21,58,79,188,24,0,0,0,0,0,44,192,201,0,0,0,0,0,63,180,373,0,0,78,55,0,144,194,127,0,121,118,77,46,199,139,37,0,63,48,46,24,0,0,0,0
