DATA,0,0,2,0,0,2,3,0,0,8,5,0,0,2,24,0,0,0,0,0,0,0,3,0,1,0,4,4,0,0,0,4,0,6,0,2,2,1,0,0,0,5,0,0,1,0,2,5,0,48,65,94,138,136,170,223,169,201,253,240,255,293,278,297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA,1,1,1,1,0,0,0,4,5,3,1,0,2,3,31,0,1,0,0,0,5,2,2,2,0,5,0,0,0,0,2,5,2,0,1,4,0,1,4,0,6,5,1,2,4,0,0,2,0,32,54,117,120,137,193,203,173,218,223,241,277,271,288,327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA,3,0,2,2,0,3,0,2,0,2,0,0,0,0,55,3,2,4,4,0,0,0,4,2,5,0,1,0,2,0,0,4,3,0,3,1,4,2,0,0,2,3,0,1,0,3,5,0,0,5,66,99,98,148,183,184,191,217,204,255,256,249,295,299
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA,4,0,3,4,0,0,0,4,4,0,0,2,0,0,32,3,0,1,1,3,0,0,2,0,0,0,0,2,0,0,1,3,0,0,0,2,2,0,0,2,3,2,1,6,4,0,0,0,0,18,82,86,109,154,150,195,181,184,223,248,234,278,301,296
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA,2,3,0,0,3,0,0,0,0,2,2,1,0,0,0,3,0,1,0,1,2,0,4,0,0,0,3,2,1,4,0,4,0,7,1,4,0,1,0,0,14,0,3,1,1,3,0,4,0,48,58,84,133,132,161,218,178,195,239,244,243,278,274,297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
